id_inventario,producto,almacen,stock_actual,fecha_reabastecimiento,estado_producto
7773ec67-2a80-4656-bca6-134faab8c8bd,Tablet,US02,20,2025-05-15,Bueno
abe5ea26-34b9-47e8-afc5-9a3a51bfd84e,Monitor,MX01,20,2025-04-08,Caducado
551a42a9-4fc8-41f2-9a01-d92e18fca885,Laptop,CN03,20,2025-04-28,Caducado
e8e72466-38b8-4eb3-b3b3-6e292a07dc36,Tablet,US02,20,2025-03-26,Dañado
df137c09-dbf3-4788-b81a-8aa8e47e4647,Tablet,MX01,5,2025-06-08,Caducado
55358ffc-61c3-4fe5-9231-04722bd7bf9f,Smartphone,US02,20,2025-04-01,Bueno
751f6715-330f-46a9-bdb0-e9d4d47de5f0,Smartphone,MX01,5,2025-06-21,Caducado
28d958b1-899d-41d7-9308-b7d51d90e01f,Laptop,US02,5,2025-04-09,Caducado
fa7b1eb9-6d0c-412d-a0a0-d7c796a641bc,Smartphone,CN03,50,2025-05-25,Dañado
ed64a555-fa3a-43fc-b36a-c9731118e82e,Laptop,CN03,1000,2025-04-08,Bueno
34bf9c96-8d85-4226-b673-dbc96c8b79be,Impresora,US02,20,2025-06-05,Bueno
fe6bcb58-113a-419e-9f7e-69d722b268ad,Smartphone,CN03,0,2025-06-05,Bueno
edaeafc8-e586-4da8-8e5d-4edb58b1a5c2,Impresora,CN03,5,2025-03-31,Caducado
3da32e45-aed2-4464-8973-c22af3f84678,Tablet,CN03,50,2025-05-21,Caducado
d594b4ad-5ffe-4f40-abf3-af28df29f6e6,Smartphone,US02,0,2025-03-24,Caducado
17d5442c-b596-488e-a0ce-35f59df49259,Impresora,US02,0,2025-04-16,Bueno
d221757f-ec35-4efc-b8b5-a535e278d5b6,Monitor,CN03,50,2025-04-28,Dañado
5bb006ae-045f-428d-b4da-85dc3edcb36c,Monitor,CN03,1000,2025-05-16,Dañado
8d4973fc-9bf2-4c24-964b-38db3d043f7e,Smartphone,MX01,50,2025-04-26,Caducado
62241d7a-9ce2-4ffa-8d02-c61a8cad3da2,Smartphone,US02,1000,2025-05-07,Bueno
