id_envio,origen,destino,modo_transporte,fecha_salida,fecha_llegada,temperatura_promedio,gps,costo_flete
36589452-790e-4d96-864a-54ee5b2f3d05,Monterrey,Los Angeles,Aéreo,2025-02-27,2025-04-16,20.0,"('19.32889', '-99.32556')",250
201ec1ba-4091-4490-bb81-ccac3f237ad2,Los Angeles,Shenzhen,Aéreo,2025-02-27,2025-06-21,10.0,"('19.04222', '-98.11889')",100
e40a4be0-4595-48a4-b7d0-224e6eed3300,Hamburgo,Shenzhen,Terrestre,2025-01-12,2025-03-06,20.0,"('19.8173', '-97.35992')",250
588a4842-cfa6-45db-91a0-a09a0574a58c,Los Angeles,CDMX,Marítimo,2025-04-22,2025-04-25,5.0,"('22.49396', '-105.36369')",100
163f2b1a-6d06-4469-8808-9dca785a051d,Monterrey,CDMX,Terrestre,2025-01-31,2025-02-08,5.0,"('19.32932', '-98.1664')",100
07e160ff-1c3b-44a5-a658-182a9de27b9d,Monterrey,Shenzhen,Terrestre,2025-05-07,2025-06-09,20.0,"('19.04222', '-98.11889')",500
3eb3a7c7-a5c9-4750-8569-dbbaa8acc589,CDMX,Monterrey,Aéreo,2025-05-10,2025-06-06,10.0,"('20.22816', '-103.5687')",250
3b657adb-de6b-44c5-bbc8-9f0dce7785c3,Monterrey,Shenzhen,Terrestre,2025-02-20,2025-04-14,10.0,"('16.75973', '-93.11308')",250
2448d46c-1f35-4215-b410-5debae28cb2a,Los Angeles,CDMX,Terrestre,2025-04-20,2025-05-15,20.0,"('16.75973', '-93.11308')",100
fdfe19d6-88f2-470e-b71a-1d6d218e1b03,Los Angeles,Monterrey,Aéreo,2025-05-23,2025-06-23,20.0,"('19.8173', '-97.35992')",100
1d878c0f-ed9a-46a0-85dc-5f2a765e5f4c,CDMX,Hamburgo,Terrestre,2025-01-28,2025-05-23,5.0,"('17.06542', '-96.72365')",500
276afb68-b91c-4262-bb4a-4c41c05c9b93,Hamburgo,CDMX,Terrestre,2025-02-07,2025-03-28,10.0,"('20.21322', '-100.88023')",500
ec084c02-e0bc-4b81-b9fd-e5d700cad577,Los Angeles,Monterrey,Terrestre,2025-04-19,2025-06-07,10.0,"('25.87972', '-97.50417')",500
6b354f18-906c-42eb-8a19-4a6eeb1ce2e5,Monterrey,Hamburgo,Marítimo,2025-03-14,2025-05-13,20.0,"('20.21322', '-100.88023')",500
bdfa21e7-5f65-4441-aada-e9b1e8f05fdc,Monterrey,Los Angeles,Terrestre,2025-01-15,2025-03-26,5.0,"('25.87972', '-97.50417')",100
3d11e7e2-3406-46af-945d-e12f2948f722,Monterrey,Hamburgo,Terrestre,2025-01-02,2025-01-08,10.0,"('21.28306', '-89.66123')",100
89bb2247-956c-472d-83ff-62904c448a63,Hamburgo,Shenzhen,Aéreo,2025-04-22,2025-06-18,5.0,"('19.32932', '-98.1664')",100
2d042a53-a4b9-4f3a-9665-f5803a9164f0,Shenzhen,Hamburgo,Terrestre,2025-04-30,2025-06-03,5.0,"('17.06542', '-96.72365')",100
59547a9e-fcca-43f9-b5c8-eba4659fbe17,CDMX,Shenzhen,Aéreo,2025-04-13,2025-05-20,5.0,"('21.28306', '-89.66123')",500
2dc0388e-c88b-40ab-8bf8-6ceace4494e6,CDMX,Shenzhen,Aéreo,2025-01-11,2025-04-03,20.0,"('21.28306', '-89.66123')",100
668b11b3-9493-4189-83e5-d08298bfd84d,CDMX,Hamburgo,Marítimo,2025-05-18,2025-06-15,10.0,"('22.49396', '-105.36369')",250
85695cc8-ac1a-4a24-9c69-eb66c15f6cb5,Hamburgo,Monterrey,Terrestre,2025-01-03,2025-03-02,10.0,"('22.49396', '-105.36369')",500
bd772d51-ba9d-4417-ba09-3a6b296ce050,Monterrey,Hamburgo,Terrestre,2025-01-13,2025-01-28,20.0,"('19.32932', '-98.1664')",100
55718559-9279-44ad-b3b2-01d9df19cc79,Los Angeles,Hamburgo,Terrestre,2025-02-05,2025-05-06,5.0,"('16.75973', '-93.11308')",250
fd944031-ab2b-42f9-8e7e-a10ab060ef8b,Shenzhen,Monterrey,Aéreo,2025-02-15,2025-05-25,20.0,"('17.94979', '-94.91386')",500
11916a56-d3f0-403b-b0a9-feeeddcb0ee1,Los Angeles,Monterrey,Aéreo,2024-12-24,2025-05-28,20.0,"('21.28306', '-89.66123')",100
21e47d7d-7e5a-4b66-befe-175843c1eefb,Hamburgo,CDMX,Terrestre,2025-02-15,2025-02-22,5.0,"('25.87972', '-97.50417')",100
4b18d644-41fe-479b-869b-7b19c9cd1c04,Hamburgo,Monterrey,Marítimo,2025-04-22,2025-05-17,10.0,"('20.28527', '-103.42897')",100
36c1019c-a9e8-40bd-a1b6-3526c6c250e8,CDMX,Los Angeles,Marítimo,2025-05-22,2025-06-20,20.0,"('21.01858', '-101.2591')",250
ab30d357-5791-4950-9f48-48c102f60bb5,Hamburgo,CDMX,Aéreo,2025-02-22,2025-05-27,5.0,"('19.8173', '-97.35992')",100
f2cd308c-8fa0-4251-b7c9-c04745648fe6,Monterrey,Los Angeles,Terrestre,2025-05-05,2025-06-12,5.0,"('17.94979', '-94.91386')",250
e39be9c7-5cf1-4e16-8870-c391bb7041ba,Shenzhen,Los Angeles,Terrestre,2025-01-27,2025-05-07,20.0,"('17.94979', '-94.91386')",250
536dc065-b2b2-4c71-8e1f-b2a7727970e6,Monterrey,Los Angeles,Aéreo,2025-01-07,2025-03-28,5.0,"('20.21322', '-100.88023')",100
9f697dc7-c037-4401-8bc9-4ed4179ebad4,Hamburgo,Monterrey,Marítimo,2025-01-31,2025-05-24,20.0,"('20.28527', '-103.42897')",250
f2d8eed2-eca4-4c54-8a55-c1fc5ce5a46e,CDMX,Shenzhen,Aéreo,2025-03-04,2025-06-06,20.0,"('20.28527', '-103.42897')",100
5e1863a1-913c-49da-b985-2b3448874b29,Hamburgo,CDMX,Marítimo,2025-05-19,2025-06-16,10.0,"('20.74122', '-100.44843')",100
ffd1bc4c-9f1e-4b1b-bd56-8abafd87f866,Hamburgo,CDMX,Aéreo,2025-02-28,2025-06-15,10.0,"('20.74122', '-100.44843')",250
014cd2fd-1e3b-44f5-851d-dab5e536f0b0,Monterrey,Hamburgo,Aéreo,2025-05-19,2025-05-27,20.0,"('19.04222', '-98.11889')",500
80c65946-b8cf-4913-8cc5-8245511cb24c,Monterrey,CDMX,Terrestre,2025-05-07,2025-05-31,10.0,"('22.49396', '-105.36369')",250
9e309617-597e-4bb9-9041-0cffd9f57dc9,Monterrey,CDMX,Aéreo,2025-03-30,2025-06-02,10.0,"('20.22816', '-103.5687')",500
07be2f21-6788-47c1-afeb-01bb80afcf37,Los Angeles,CDMX,Terrestre,2025-04-24,2025-05-08,10.0,"('19.8173', '-97.35992')",250
aac3b439-747b-4e17-bede-a4518f43c17a,Monterrey,Shenzhen,Aéreo,2025-01-12,2025-02-22,20.0,"('22.49396', '-105.36369')",100
d2ff41a7-06bd-4fb5-abd7-d3daf73f724c,Los Angeles,Shenzhen,Terrestre,2025-03-14,2025-03-25,20.0,"('17.06542', '-96.72365')",100
46f3d4f3-44d9-485a-a349-5ee77f1d3bc0,Los Angeles,Shenzhen,Aéreo,2025-05-18,2025-06-08,10.0,"('25.87972', '-97.50417')",500
d6a5d6ea-061b-462b-8446-4684ce979cc8,Shenzhen,Hamburgo,Aéreo,2025-05-02,2025-06-11,5.0,"('19.04222', '-98.11889')",250
